Пол,Сумма.баллов,ЕГЭ...матем.,ЕГЭ...рус.яз.,Аттестат.с.отличием.оценка,ГТО.оценка,Сочинение.оценка,Регион,Тип.насел..пункта,Дата.рождения,День.рождения,Месяц.рождения
ЖЕНСКИЙ,359,99,98,0,0,3,Московская обл,ГОРОД,27.01.1999,27,1
МУЖСКОЙ,341,86,88,0,0,2,Калужская обл,ГОРОД,23.11.1998,23,11
МУЖСКОЙ,351,94,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.06.2000,10,6
ЖЕНСКИЙ,337,92,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.05.1999,24,5
ЖЕНСКИЙ,285,80,78,0,0,2,Московская обл,ГОРОД,19.01.2000,19,1
МУЖСКОЙ,320,82,93,0,0,2,Московская обл,ГОРОД,13.04.2000,13,4
МУЖСКОЙ,351,99,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.10.1999,9,10
МУЖСКОЙ,345,82,98,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.10.1999,14,10
МУЖСКОЙ,385,98,96,0,0,2,Московская обл,ГОРОД,28.04.2000,28,4
МУЖСКОЙ,277,86,76,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.01.1999,18,1
МУЖСКОЙ,317,86,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.07.1999,24,7
ЖЕНСКИЙ,380,86,100,5,0,2,Московская обл,ГОРОД,21.07.1999,21,7
МУЖСКОЙ,353,88,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.12.1999,24,12
МУЖСКОЙ,345,92,73,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.08.1999,12,8
МУЖСКОЙ,320,80,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.07.1999,12,7
МУЖСКОЙ,353,90,76,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.07.1997,14,7
МУЖСКОЙ,282,96,79,0,0,2,Тыва Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,22.03.1997,22,3
МУЖСКОЙ,392,98,88,5,0,1,Ханты-Мансийский  АО,ГОРОД,29.02.2000,29,2
ЖЕНСКИЙ,376,100,91,5,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.04.2000,14,4
МУЖСКОЙ,289,82,91,5,0,2,Московская обл,ГОРОД,20.10.1999,20,10
МУЖСКОЙ,340,88,73,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.08.1999,19,8
МУЖСКОЙ,340,90,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.05.1999,6,5
МУЖСКОЙ,289,82,81,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.11.1999,11,11
ЖЕНСКИЙ,304,84,96,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,08.06.2000,8,6
ЖЕНСКИЙ,344,92,93,0,0,2,Московская обл,ГОРОД,21.03.1999,21,3
МУЖСКОЙ,302,82,81,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.05.1999,1,5
МУЖСКОЙ,348,80,88,5,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.12.1999,9,12
МУЖСКОЙ,322,84,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.09.1999,19,9
МУЖСКОЙ,372,92,98,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.07.1999,6,7
ЖЕНСКИЙ,350,84,91,0,0,2,Московская обл,ГОРОД,26.07.1999,26,7
МУЖСКОЙ,351,96,72,0,0,2,Московская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.01.2000,5,1
МУЖСКОЙ,328,NA,NA,0,0,0,нет регионов,ГОРОД,21.01.2000,21,1
ЖЕНСКИЙ,394,96,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.07.1999,6,7
МУЖСКОЙ,314,84,91,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.11.1999,19,11
МУЖСКОЙ,323,90,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.03.2000,24,3
МУЖСКОЙ,311,84,93,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.06.2000,6,6
МУЖСКОЙ,316,88,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.10.1999,24,10
ЖЕНСКИЙ,356,82,81,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.07.2000,18,7
ЖЕНСКИЙ,365,92,86,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.11.1999,6,11
ЖЕНСКИЙ,281,86,72,5,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.08.1999,5,8
МУЖСКОЙ,350,94,78,5,0,2,Костромская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,21.07.1999,21,7
ЖЕНСКИЙ,380,99,86,5,2,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.07.1999,2,7
ЖЕНСКИЙ,398,100,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,08.05.1999,8,5
МУЖСКОЙ,313,82,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.05.1999,4,5
МУЖСКОЙ,384,94,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.03.2000,3,3
МУЖСКОЙ,301,80,88,5,0,0,Красноярский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,21.09.1999,21,9
МУЖСКОЙ,314,82,93,5,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,13.06.1999,13,6
МУЖСКОЙ,324,88,73,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.09.2000,1,9
ЖЕНСКИЙ,275,70,76,0,2,1,Нижегородская обл,ГОРОД,05.01.1999,5,1
МУЖСКОЙ,339,86,91,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.07.2000,2,7
МУЖСКОЙ,328,82,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.12.1999,27,12
МУЖСКОЙ,318,68,98,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.06.1999,16,6
ЖЕНСКИЙ,295,78,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,20.05.1999,20,5
МУЖСКОЙ,309,82,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,08.07.2000,8,7
МУЖСКОЙ,334,78,96,0,0,2,Калужская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,07.09.1999,7,9
МУЖСКОЙ,338,84,88,0,0,1,Московская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,27.07.1999,27,7
МУЖСКОЙ,315,84,86,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.02.1999,14,2
МУЖСКОЙ,318,88,78,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.12.1999,3,12
МУЖСКОЙ,336,88,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.05.1999,27,5
ЖЕНСКИЙ,400,100,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,13.01.1999,13,1
ЖЕНСКИЙ,315,84,96,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.06.1999,25,6
МУЖСКОЙ,261,68,88,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.10.1999,19,10
МУЖСКОЙ,308,84,98,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.09.1999,6,9
ЖЕНСКИЙ,347,92,81,0,0,2,Московская обл,ГОРОД,15.08.1998,15,8
ЖЕНСКИЙ,370,76,96,5,2,2,Воронежская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,26.09.2000,26,9
МУЖСКОЙ,299,88,73,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,13.03.2000,13,3
ЖЕНСКИЙ,268,76,81,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,20.04.1999,20,4
МУЖСКОЙ,327,82,98,5,0,2,Московская обл,ГОРОД,16.08.1999,16,8
ЖЕНСКИЙ,321,80,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29.03.2000,29,3
ЖЕНСКИЙ,370,82,96,5,0,2,Чувашская Респ,ГОРОД,09.06.1999,9,6
МУЖСКОЙ,341,90,86,5,0,1,Ульяновская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,24.02.1999,24,2
ЖЕНСКИЙ,377,90,98,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29.04.1999,29,4
МУЖСКОЙ,352,96,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.12.1999,10,12
ЖЕНСКИЙ,307,86,88,5,0,1,Нижегородская обл,ГОРОД,19.09.1999,19,9
МУЖСКОЙ,340,82,93,5,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.08.1999,6,8
ЖЕНСКИЙ,340,84,98,0,0,2,Московская обл,ГОРОД,17.04.2000,17,4
МУЖСКОЙ,391,94,91,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,15.09.1999,15,9
МУЖСКОЙ,270,90,70,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.05.1999,18,5
МУЖСКОЙ,318,90,70,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29.05.1999,29,5
ЖЕНСКИЙ,399,99,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29.01.1999,29,1
ЖЕНСКИЙ,374,98,91,5,0,2,Чувашская Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,20.11.1999,20,11
МУЖСКОЙ,306,78,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.10.1999,14,10
МУЖСКОЙ,259,78,62,0,2,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.10.1999,11,10
ЖЕНСКИЙ,316,88,93,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.08.1999,19,8
ЖЕНСКИЙ,327,82,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.05.1999,30,5
ЖЕНСКИЙ,335,90,93,0,0,2,Московская обл,ГОРОД,07.10.1999,7,10
ЖЕНСКИЙ,342,94,83,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.06.1999,30,6
МУЖСКОЙ,199,45,66,0,0,0,Московская обл,ГОРОД,08.11.1999,8,11
МУЖСКОЙ,323,88,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.01.1999,22,1
МУЖСКОЙ,355,90,76,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.12.1998,17,12
МУЖСКОЙ,296,82,93,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.11.1999,1,11
ЖЕНСКИЙ,373,86,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.10.1999,22,10
МУЖСКОЙ,319,88,76,0,0,1,Московская обл,ГОРОД,25.10.1999,25,10
МУЖСКОЙ,276,72,71,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.11.1999,19,11
МУЖСКОЙ,333,80,73,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.01.2000,4,1
МУЖСКОЙ,343,82,91,5,0,2,Московская обл,ГОРОД,13.07.2000,13,7
МУЖСКОЙ,302,82,70,0,0,2,Башкортостан Респ,ГОРОД,05.12.1999,5,12
ЖЕНСКИЙ,320,94,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,20.08.1999,20,8
ЖЕНСКИЙ,318,88,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.09.1999,26,9
МУЖСКОЙ,346,76,81,5,0,1,Татарстан Респ,ГОРОД,10.11.1999,10,11
МУЖСКОЙ,297,92,70,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.01.2000,16,1
ЖЕНСКИЙ,312,86,83,5,0,2,Московская обл,ГОРОД,05.06.1999,5,6
МУЖСКОЙ,304,80,86,0,2,2,Башкортостан Респ,ГОРОД,08.10.1999,8,10
МУЖСКОЙ,287,78,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.03.2000,10,3
МУЖСКОЙ,350,84,88,0,0,2,Ивановская обл,ГОРОД,07.12.1999,7,12
ЖЕНСКИЙ,268,82,73,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.03.2000,2,3
ЖЕНСКИЙ,341,88,86,5,0,1,Нижегородская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,20.07.1999,20,7
МУЖСКОЙ,381,90,91,0,0,2,Московская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,27.05.1999,27,5
МУЖСКОЙ,294,76,96,5,0,1,Московская обл,ГОРОД,29.07.1999,29,7
МУЖСКОЙ,335,92,88,0,0,2,Волгоградская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,22.07.1999,22,7
МУЖСКОЙ,359,94,93,5,2,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.09.1999,28,9
МУЖСКОЙ,326,90,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.01.1999,16,1
МУЖСКОЙ,305,86,78,0,2,2,Московская обл,ГОРОД,18.11.1999,18,11
МУЖСКОЙ,333,92,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.08.1999,7,8
ЖЕНСКИЙ,350,86,91,5,0,3,Московская обл,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,08.07.1999,8,7
МУЖСКОЙ,354,92,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.09.1999,30,9
МУЖСКОЙ,388,100,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,08.10.1999,8,10
МУЖСКОЙ,392,96,91,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,31.03.1999,31,3
МУЖСКОЙ,358,88,98,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.02.2000,2,2
МУЖСКОЙ,376,99,93,5,2,1,Иркутская обл,ГОРОД,17.11.1999,17,11
ЖЕНСКИЙ,334,82,100,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.05.1999,11,5
ЖЕНСКИЙ,293,78,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.11.1999,16,11
МУЖСКОЙ,342,96,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.03.1999,30,3
ЖЕНСКИЙ,296,78,100,5,2,2,Ульяновская обл,ГОРОД,04.01.2000,4,1
ЖЕНСКИЙ,374,96,100,5,2,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,15.09.1999,15,9
МУЖСКОЙ,266,88,67,0,0,0,Московская обл,ГОРОД,25.01.2000,25,1
МУЖСКОЙ,307,80,86,5,0,2,Свердловская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,11.06.1998,11,6
ЖЕНСКИЙ,299,80,100,5,0,2,Орловская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,28.07.1999,28,7
МУЖСКОЙ,308,80,91,5,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.05.1999,2,5
МУЖСКОЙ,363,96,76,0,0,2,Ивановская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,06.01.1999,6,1
МУЖСКОЙ,375,94,88,0,0,1,Московская обл,ГОРОД,08.10.1999,8,10
МУЖСКОЙ,243,70,81,0,0,1,Москва г,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,06.02.2000,6,2
МУЖСКОЙ,287,94,71,5,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.05.1999,10,5
МУЖСКОЙ,329,84,88,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.03.2000,21,3
МУЖСКОЙ,326,82,78,0,0,1,Московская обл,ГОРОД,28.01.2000,28,1
МУЖСКОЙ,325,94,81,0,0,2,Московская обл,ГОРОД,04.03.2000,4,3
МУЖСКОЙ,346,92,88,0,2,1,Камчатский край,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,08.02.2000,8,2
МУЖСКОЙ,321,82,88,0,0,0,Санкт-Петербург г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.05.1999,22,5
МУЖСКОЙ,309,72,76,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.12.1999,21,12
ЖЕНСКИЙ,310,78,96,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.09.1999,30,9
МУЖСКОЙ,242,78,61,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.06.2000,26,6
МУЖСКОЙ,392,92,100,5,2,1,Оренбургская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.02.1999,4,2
МУЖСКОЙ,280,80,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.11.1999,5,11
МУЖСКОЙ,356,86,78,0,0,0,нет регионов,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.10.1999,4,10
МУЖСКОЙ,365,80,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.07.1999,2,7
МУЖСКОЙ,218,56,76,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.03.1999,3,3
МУЖСКОЙ,303,84,81,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.10.1999,28,10
МУЖСКОЙ,316,82,83,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.09.1999,3,9
МУЖСКОЙ,335,78,86,5,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.05.1999,12,5
МУЖСКОЙ,380,84,98,0,0,2,Московская обл,ГОРОД,27.05.1999,27,5
МУЖСКОЙ,317,80,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.10.1999,2,10
ЖЕНСКИЙ,332,92,100,5,0,3,Иркутская обл,ГОРОД,28.01.2000,28,1
МУЖСКОЙ,360,82,93,5,0,2,Смоленская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,20.01.1999,20,1
МУЖСКОЙ,334,86,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.03.1999,9,3
ЖЕНСКИЙ,286,82,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,08.03.2000,8,3
МУЖСКОЙ,372,100,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.08.1999,7,8
МУЖСКОЙ,273,70,76,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.04.1999,10,4
МУЖСКОЙ,277,86,81,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.10.1999,19,10
МУЖСКОЙ,372,94,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.05.2000,17,5
МУЖСКОЙ,296,88,72,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29.10.1999,29,10
МУЖСКОЙ,369,99,76,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.03.1999,27,3
МУЖСКОЙ,362,98,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.04.1999,10,4
МУЖСКОЙ,359,86,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.08.1999,14,8
МУЖСКОЙ,341,90,83,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.06.1999,28,6
МУЖСКОЙ,303,74,81,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.03.2000,4,3
МУЖСКОЙ,362,82,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.03.1999,12,3
МУЖСКОЙ,342,84,93,0,0,2,Московская обл,ГОРОД,13.09.1999,13,9
МУЖСКОЙ,266,74,69,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.08.1999,19,8
МУЖСКОЙ,324,84,88,0,0,2,Московская обл,ГОРОД,21.07.1999,21,7
МУЖСКОЙ,305,72,86,0,0,1,Московская обл,ГОРОД,07.06.1999,7,6
ЖЕНСКИЙ,309,82,78,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.01.2000,12,1
ЖЕНСКИЙ,382,92,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.11.1999,12,11
ЖЕНСКИЙ,314,80,96,0,0,0,Саратовская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.02.2000,28,2
ЖЕНСКИЙ,334,84,81,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.02.2000,22,2
ЖЕНСКИЙ,319,82,96,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.05.1999,14,5
ЖЕНСКИЙ,329,86,93,5,0,0,Саха /Якутия/ Респ,ГОРОД,03.06.2002,3,6
МУЖСКОЙ,309,86,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.02.2000,22,2
МУЖСКОЙ,307,80,91,0,0,1,Кабардино-Балкарская Респ,ГОРОД,25.11.1999,25,11
ЖЕНСКИЙ,373,90,91,5,0,2,Ставропольский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,01.10.1999,1,10
ЖЕНСКИЙ,400,99,98,5,0,2,Курская обл,ГОРОД,13.02.2000,13,2
ЖЕНСКИЙ,363,90,93,5,2,2,Татарстан Респ,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,15.07.1999,15,7
МУЖСКОЙ,332,90,70,0,0,1,Московская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.05.2000,11,5
МУЖСКОЙ,299,80,91,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.10.1999,21,10
МУЖСКОЙ,315,78,91,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.09.1999,4,9
ЖЕНСКИЙ,336,84,83,5,0,2,Ростовская обл,ГОРОД,23.07.1999,23,7
МУЖСКОЙ,345,88,81,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.09.1999,23,9
МУЖСКОЙ,329,86,81,0,0,2,Московская обл,ГОРОД,01.03.1999,1,3
МУЖСКОЙ,306,84,73,5,0,0,Московская обл,ГОРОД,07.04.2000,7,4
МУЖСКОЙ,254,68,81,0,0,1,Московская обл,ГОРОД,15.10.1999,15,10
ЖЕНСКИЙ,353,82,93,5,2,2,Липецкая обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,22.08.1999,22,8
МУЖСКОЙ,344,88,91,0,0,1,Московская обл,ГОРОД,10.06.1999,10,6
ЖЕНСКИЙ,327,78,98,0,0,2,Пермский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,09.07.1999,9,7
МУЖСКОЙ,321,78,86,0,2,0,Московская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.09.1999,3,9
ЖЕНСКИЙ,344,94,76,0,0,1,Московская обл,ГОРОД,14.11.1999,14,11
МУЖСКОЙ,304,82,72,5,0,2,Москва г,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,01.11.1999,1,11
МУЖСКОЙ,323,82,78,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.08.2000,24,8
